id,text,HS
6452,"@indigomermaidd You're the exception , you weren't a rude lil cunt like some hoes. ðŸ™ƒðŸ’•",1
4884,If a woman doesn't want you just unleash your charm. Women are weak and will cave after almost nothing.;,1
1931,"Son of Jamestown, Protestants that made the USA and Conservative for President Trump... You can stick Lincoln, the guy that used Fed troops against Citizens and imposed tariffs and taxes on the Souths Cotton... it was written by Irish Catholic immigrant formerly a Never Trumper https://t.co/EQ4OHtovjb",0
4942,Literally just got hit by a car bc this dumb blonde bitch was on her phone and she didn't even stop after HAHAHAHA what a cunt,1
4721,charli: fuck you bitch charli: omg why am i so extra wjahjaaj,1
6540,What would you do if namjoon sneaks into your room at night and yells 'HERE COMES MONSTER DICK BITCH!!',0
776,"@amandapalmer We're trying to secure $2500 in matching funds to help female refugees thrive. We're $419 away from our goal, and have until midnight West Coast time to do it. Can you give us a retweet? https://t.co/wkqo4dB54a",0
5402,@GhostofGigi Are you calling me a Twitter Whore? Kiss indeed..,1
6563,@ErikTheYordle they give you a gun USE THE GUN TO SPOOK THE SPOOKERS WITH LEAD TO THE DICK,0
639,@SaraCarterDC Another young life taken to soon in my circle! Within 2 months of each other! 26 yrs old. Both were clean for 10/12 their one last time killed them both. When do we hold these people accountable for murder! @realDonaldTrump #BuildThatWall,1
2950,"@nowthisnews Something Trump has already done.How hard is it saying ""Radical Islamic Terrorism.""Go away. You sowed hatred and division for 8 years, now you're fomenting destruction.#BuildThatWall #MAGA",1
7687,When you stick it in the wrong hole on 'accident' https://t.co/KHAxEv48Bb,0
5472,@Deeejjaaa if I get one more email from your ass ima blow that bitch up,1
5853,My dicks name is Curiosity... Cause it kills the kat,1
4199,"â€œ#Bangladesh should register fleeing #Rohingya as refugees, ensure adequate health care &amp; education, &amp; let them pursue livelihoods outside the campâ€ says @BillFrelick in new @hrw report ""Bangladesh is Not My Country: Plight of Rohingya Refugees fr #Myanmar https://t.co/zkojkd95Tc",0
6233,HOW ABOUT YOUR CRIMES BILLS LOSING LICENSE OVER RAPES & SEX IN CLINTON WHORE HOUSE BRIBES MOSCOW KICKBACKS WOULDN'T MATTER WE WANTED TRUMP!!,1
782,Illegal Alien With Long Criminal Record Murdered Man In North Carolina via @USIACrimeReport#BuildTheWall #EnforceUSLaws#EndDaca #BanSanctuaryCities#KeepAmericansSafe,1
19131,@realDonaldTrump Pssst. Your father in law has a criminal history from his country of origin that would've disqualified him for citizenship. When you're kicked out of our WH we'll send him back w/his chain migrated wife & that racist skank that pretends t,0
7251,When someone announces that they are 'officially unfollowing' https://t.co/suuWPZ2tnN,0
8358,"@SirLoinDeBoeuf Not all men. You are all driven by the same lusts women are, some just persue those lusts differently ðŸ˜",0
19097,"@LRBitisnot Your words are soooooo descriptive. And now if there was any question about what happened before, now shes just being in in-your-face fucktwaddle because she thinks she got away with it the first time. Fucking bitch...and I dont say that about",1
2449,"The Daily Mail is not always a reliable news source but I can see no reason to dispute this report.  Perhaps one of the 'Refugees Welcome,' lobby might care to comment. What about you,  Hope not Hate , any thoughts ? https://t.co/Cuen7m3nXQ",0
4840,@Jedi_sluts I moan as I watch your perfect blue pussy descend upon my big dick.,1
18686,Boo hoo! says KY refugee contractor---not enough Muslim #Refugees placed in Bowling Green under this @POTUS.Amazing how leftwing media conveniently forgets things like this---Iraqi refugee terrorists arrested in BG. Good thing I'm here to remind them!https://t.co/1ybYmofO44 https://t.co/WoBP7bB49x,1
5147,"Example 01: Boyfriend: 'I think my girlfriend is cheating on me.' Boyfriend's friend: 'Yeah, bitch got a penis!'",1
19121,"Im sorry, but this generation of females have no self respect. The internet shouldnt know when youre horny, wet, how good you pussy is & etc. & Yall wonder why these boys treat yall like hoes ! Praying for this generation",1
2163,"Where are the actual victims of Isis, the real refugees from the Middle East? https://t.co/yepolHfPN2",1
